drugid,cas
11629,"54739-18-3; 61718-82-9"
11640,"1185-57-5"
11687,"138071-82-6"
11822,"53714-56-0; 74381-53-6"
11837,"50-28-2"
11854,"10102-43-9"
11862,"72573-82-1; 92943-93-6"
11897,"4245-41-4; 50-28-2"
11961,"183319-69-9; 183320-12-9; 183321-74-6"
11974,"152-11-4; 52-53-9"
12013,"22204-53-1; 26159-34-2"
12015,"439-14-5"
12083,"137071-32-0"
12113,"5633-20-5"
12117,"113-45-1; 298-59-9"
12118,"466-99-9; 71-68-1"
12132,"54965-21-8"
12134,"50-07-7"
12135,"169590-42-5"
12150,"2068-78-2; 57-22-7"
12168,"51-98-9; 57-63-6; 8015-12-1"
12170,"57-63-6; 797-63-7"
12171,"35189-28-7; 57-63-6; 79871-54-8"
12205,"154361-50-9"
12211,"515-98-0"
12241,"42408-82-2; 58786-99-5"
12242,"112965-21-6"
12265,"32222-06-3"
12343,"50-28-2"
12347,"86050-77-3"
12360,"57-83-0"
12363,"55-63-0"
12389,"5633-20-5"
12418,"124-90-3; 76-42-6"
12420,"147098-20-2; 287714-41-4"
12433,"137-58-6"
12526,"193901-90-5; 201688-00-8"
12538,"42794-76-3; 43218-56-0"
12543,"153773-82-1; 153832-46-3"
12544,"162808-62-0; 179463-17-3"
12625,"150399-21-6; 80573-04-2"
12731,"174484-41-4; 191150-83-1"
12737,"50-02-2"
12781,"298-46-4"
12784,"32986-56-4; 82034-46-6"
12785,"302-79-4"
12803,"126544-47-6"
12834,"80621-81-4"
12838,"155206-00-1"
12846,"437-38-7; 990-73-8"
12866,"1972-08-3"
12922,"25812-30-0"
12937,"76-25-5"
12973,"341031-54-7; 557795-19-4"
12978,"151096-09-2; 186826-86-8"
12990,"7554-65-6"
13007,"56211-40-6"
13008,"86-54-4; 87-33-2"
13010,"645-05-6"
13016,"76824-35-6"
13019,"86168-78-7"
13022,"56390-09-1; 56420-45-2"
13110,"83881-51-0; 90-82-4"
13162,"58-22-0"
13202,"21829-25-4"
13239,"2353-33-5"
13311,"13967-65-2"
13323,"187235-37-6"
13338,"128-13-2"
13340,"159351-69-6"
13343,"103-82-2; 65-85-0"
13409,"14611-51-9; 14611-52-0"
13444,"52-53-9"
13460,"187227-45-8; 196618-13-0; 204255-11-8"
13468,"57-27-2; 6211-15-0; 64-31-3"
13469,"9004-61-9"
13482,"73963-72-1"
13484,"51781-06-7; 51781-21-6"
13486,"142217-69-4"
13487,"172889-84-8"
13537,"21829-25-4"
13569,"23651-95-8"
13572,"141758-74-9"
13594,"105102-22-5; 83919-23-7"
13599,"54024-22-5; 57-63-6; 71138-35-7"
13600,"54048-10-1"
13615,"54048-10-1; 57-63-6"
13623,"52212-02-9; 68399-57-5; 68399-58-6"
13648,"54024-22-5; 57-63-6; 71138-35-7"
13654,"302-79-4"
13663,"42399-41-7; 75847-73-3"
13757,"191114-48-4"
13785,"110882-83-2; 114894-40-5; 148868-06-8; 171500-79-1"
13851,"50-28-2"
13928,"679809-58-6"
14005,"160970-54-7"
14214,"19262-68-1; 40431-64-9"
14319,"100643-71-8"
14336,"136112-01-1; 80474-14-2; 89365-50-4"
14391,"178429-62-4"
14410,"15307-86-5"
14424,"22071-15-4"
14426,"16051-77-7"
14440,"564-25-0"
14442,"53714-56-0; 74381-53-6"
14484,"113-45-1; 298-59-9"
14493,"201341-05-1; 202138-50-9"
14603,"107724-20-9"
14643,"121032-29-9"
14658,"38396-39-3"
14681,"155213-67-5; 192725-17-0"
14844,"18472-51-0"
14877,"2152-44-5"
14885,"797-63-7"
14912,"183552-38-7"
14954,"57-63-6; 797-63-7"
14979,"140207-93-8"
15102,"61379-65-5"
15183,"79559-97-0; 79617-96-2"
15193,"155798-07-5"
15198,"137-58-6"
15227,"167221-71-8"
15254,"191594-64-6; 198904-01-7; 198904-13-1; 198904-31-3; 229975-97-7"
15322,"394730-60-0"
15447,"1143-38-0"
15472,"162011-90-7"
15478,"180468-39-7; 242478-37-1; 242478-38-2"
15518,"52232-67-4"
15534,"141758-74-9"
15541,"219989-84-1"
15574,"50-78-2; 58-32-2"
15648,"12126-59-9"
15716,"179474-81-8; 179474-85-2"
15954,"179324-69-7"
16021,"172673-20-0; 265121-04-8"
16026,"119141-88-7; 161796-84-5; 161973-10-0; 217087-09-7"
16063,"188106-83-4; 763113-22-0; 90417-38-2"
16073,"137862-53-4; 186615-83-8; 58-93-5"
16216,"76-41-5"
16242,"226256-56-0; 364782-34-3"
16384,"4105-38-8"
16671,"189279-58-1"
16696,"134678-17-4; 165456-81-5; 30516-87-1"
16748,"170729-80-3"
16758,"110078-46-1; 155148-31-5"
16888,"150683-30-0"
16891,"187164-19-8"
16896,"125-29-1; 15687-27-1"
16905,"82248-59-7; 82857-39-4; 82857-40-7; 83015-26-3"
16915,"68538-85-2; 80433-71-2"
16917,"55-63-0"
16937,"15307-79-6; 15307-86-5; 78213-16-8"
16957,"58581-89-8; 79307-93-0"
16986,"49562-28-9"
17015,"53910-25-1"
17107,"143338-12-9; 160707-68-6; 160707-69-7"
17168,"443-48-1; 69198-10-3"
17249,"318471-79-3; 443-48-1; 57644-54-9; 60-54-8"
17335,"439279-66-0; 50-23-7; 59277-89-3"
17382,"131069-91-5"
17426,"169148-63-4"
17475,"222716-86-1"
17518,"128196-01-0; 219861-08-2"
17527,"50-28-2"
17558,"54910-89-3; 56296-78-7"
17625,"149647-78-9"
17667,"224452-66-8"
17745,"107133-36-8; 82834-16-0"
17814,"148553-50-8"
17837,"58-22-0"
17847,"207679-81-0; 286930-02-7; 286930-03-8"
17853,"22204-53-1; 59122-46-2"
17856,"181695-72-7"
17914,"16051-77-7"
17990,"146464-95-1"
18057,"130018-77-8; 130018-87-0"
18061,"13009-99-9; 138-39-6"
18168,"25122-41-2; 25122-46-7"
18206,"59-67-6; 75330-75-5"
18425,"177036-94-1"
18873,"138680-08-7; 138729-47-2"
19001,"150322-43-3; 204204-73-9; 389574-19-0"
19261,"58-22-0"
19300,"201530-41-8"
19460,"50-78-2"
19462,"208538-73-2; 235114-32-6"
19901,"163706-06-7; 163706-35-2; 163706-36-3"
20137,"289480-64-4; 81846-19-7"
21038,"175481-36-4"
21820,"162401-32-3"
21919,"131918-61-1"
21934,"76712-82-8"
21960,"125-71-3; 56-54-2"
21994,"224785-90-4; 224785-91-5; 224789-15-5"
22204,"80-08-0"
22274,"50-28-2; 797-63-7"
22275,"50-28-2; 67392-87-4"
22965,"162635-04-3"
23015,"137-58-6"
23239,"126784-99-4; 159811-51-5"
23381,"207748-29-6"
23459,"156879-69-5; 500-92-5; 95233-18-4"
23622,"113-45-1"
23623,"13647-35-3"
23624,"123318-82-1"
23880,"313-06-4; 71-58-9; 71615-27-5"
24142,"19767-45-4"
24189,"138402-11-6; 58-93-5"
24343,"211914-51-1; 211915-06-9; 593282-20-3"
24471,"226700-79-4; 226700-80-7; 226700-81-8"
24486,"65277-42-1"
24509,"29110-47-2; 29110-48-3"
24672,"312617-89-3"
25009,"300-62-9; 51-64-9"
